No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,HTMX-Core,Use hx-boost for progressive enhancement,Start with standard HTML forms and links then enhance with hx-boost,Add hx-boost to body or containers for AJAX navigation,Replace all forms with hx-post immediately,<body hx-boost="true"><a href="/page">Link</a></body>,<a hx-get="/page">Link</a> everywhere,Medium,https://htmx.org/attributes/hx-boost/
2,HTMX-Core,Prefer hx-target for explicit swapping,Use hx-target to specify where content should be replaced,Target specific elements for content updates,Rely on default swapping behavior,<button hx-get="/users" hx-target="#user-list">Load</button>,<button hx-get="/users">Load</button>,Medium,https://htmx.org/attributes/hx-target/
3,HTMX-Core,Use semantic HTTP methods correctly,Match HTTP methods to their semantic meaning,Use GET for queries POST for creation PUT/PATCH for updates DELETE for removal,Use POST for everything or wrong methods,<button hx-delete="/users/1">Delete</button>,<button hx-post="/users/delete/1">Delete</button>,High,https://htmx.org/docs/#requests
4,HTMX-Core,Include CSRF protection,Always include CSRF tokens in non-GET requests,Add hx-headers or hidden inputs with CSRF tokens,Submit forms without CSRF protection,<form hx-post="/users" hx-headers='{"X-CSRF-Token": "abc123"}'>,"<form hx-post=""/users""> (no CSRF)",High,https://htmx.org/attributes/hx-headers/
5,HTMX-Core,Use hx-swap for appropriate content replacement,Choose correct swap strategy based on use case,innerHTML for content outerHTML for complete replacement,Always use default innerHTML,<div hx-get="/partial" hx-swap="outerHTML">Replace me</div>,<div hx-get="/partial">Content</div>,Medium,https://htmx.org/attributes/hx-swap/
6,HTMX-Loading,Show loading indicators with hx-indicator,Provide visual feedback during requests,Use hx-indicator to show spinners or loading states,Leave users without loading feedback,<button hx-get="/data" hx-indicator="#spinner">Load</button>,<button hx-get="/data">Load</button>,High,https://htmx.org/attributes/hx-indicator/
7,HTMX-Loading,Use htmx-request class for loading states,Style elements during active requests,Apply CSS to .htmx-request for loading appearance,No visual indication during requests,.htmx-request { opacity: 0.5; cursor: wait; },No loading styles,Medium,https://htmx.org/docs/#request-indicators
8,HTMX-Loading,Disable buttons during requests,Prevent double submissions and race conditions,Use hx-disable-element or CSS to disable during requests,Allow multiple simultaneous submissions,<button hx-post="/submit" hx-disable-element="this">Submit</button>,<button hx-post="/submit">Submit</button>,High,https://htmx.org/attributes/hx-disable/
9,HTMX-Error,Handle server errors gracefully,Provide meaningful error feedback to users,Return appropriate HTTP status codes with error HTML,Return generic 500 errors or no error handling,Server returns 422 with <div class="error">Invalid input</div>,Server returns 500 with plain text,High,https://htmx.org/docs/#requests
10,HTMX-Error,Use hx-on for error handling,Handle HTTP errors with custom JavaScript,Listen for htmx:responseError events,Ignore error states completely,<div hx-on:htmx:responseError="showError(event)">Content</div>,No error event handling,High,https://htmx.org/events/#htmx:responseError
11,HTMX-Error,Validate forms server-side,Always validate on server even with client validation,Return 422 with field-specific error HTML,Trust client-side validation only,422 status with <span class="field-error">Required</span>,200 status with invalid data,High,
12,HTMX-Performance,Use hx-trigger wisely,Optimize request frequency to avoid server overload,Debounce search inputs with changed delay,Fire requests on every keystroke,<input hx-get="/search" hx-trigger="input changed delay:300ms">,<input hx-get="/search" hx-trigger="input">,High,https://htmx.org/attributes/hx-trigger/
13,HTMX-Performance,Minimize response sizes,Return only necessary HTML in responses,Return partial HTML templates not full pages,Return complete pages for HTMX requests,Response: <tr><td>Data</td></tr>,Response: Full HTML page with head/body,Medium,
14,HTMX-Performance,Use hx-select for targeted updates,Extract specific content from responses,Select portions of response HTML,Load entire response even if only part needed,<div hx-get="/page" hx-select="#content">Partial</div>,<div hx-get="/page">Full page</div>,Medium,https://htmx.org/attributes/hx-select/
15,HTMX-SEO,Ensure progressive enhancement works,Make functionality work without JavaScript first,Build working HTML forms/links then enhance,Require JavaScript for basic functionality,<form action="/users" method="post" hx-post="/users">Form</form>,<div hx-post="/users">Pseudo-form</div>,High,
16,HTMX-SEO,Use hx-push-url for navigation,Update browser history for navigational requests,Push URL for page-changing requests,Break browser back/forward buttons,<a hx-get="/page" hx-push-url="true">Link</a>,<a hx-get="/page">Link</a>,Medium,https://htmx.org/attributes/hx-push-url/
17,HTMX-SEO,Provide fallback URLs,Include proper href and action attributes,Always have working URLs without HTMX,Use # or javascript: in URLs,"<a href=""/page"" hx-get=""/page"">Link</a>","<a href=""#"" hx-get=""/page"">Link</a>",High,
18,HTMX-Patterns,Use Out of Band Swaps for multiple updates,Update multiple page sections from one request,Use hx-swap-oob for updating unrelated elements,Make separate requests for each update,Response includes <div id="nav" hx-swap-oob="true">Nav</div>,Multiple HTMX requests for related updates,Medium,https://htmx.org/attributes/hx-swap-oob/
19,HTMX-Patterns,Implement infinite scroll properly,Load additional content as user scrolls,Use hx-trigger="revealed" on sentinel elements,Load all data at once or with pagination buttons,<div hx-get="/more?page=2" hx-trigger="revealed" hx-swap="afterend">Loading...</div>,Load all 1000 items immediately,Medium,https://htmx.org/examples/infinite-scroll/
20,HTMX-Patterns,Use active search pattern,Provide real-time search as user types,Debounce search input with server-side filtering,Client-side filtering or instant requests,<input hx-get="/search" hx-trigger="input changed delay:300ms" hx-target="#results">,<input onkeyup="search(this.value)">,Medium,https://htmx.org/examples/active-search/
21,Alpine-Core,Use x-data for component state,Define component boundaries with x-data,Create x-data objects for each interactive component,Use global variables or DOM manipulation,<div x-data="{ open: false }">Component</div>,<div onclick="toggleGlobal()">Component</div>,High,https://alpinejs.dev/directives/x-data
22,Alpine-Core,Initialize state in x-data,Keep component state initialization in x-data object,Define initial state values in x-data,Initialize state in x-init or external functions,<div x-data="{ count: 0 name: '' }">Component</div>,<div x-data="{}" x-init="count = 0">Component</div>,Medium,https://alpinejs.dev/directives/x-data
23,Alpine-Core,Use x-show/x-if appropriately,Choose correct visibility directive based on use case,x-show for frequent toggles x-if for expensive rendering,Use wrong directive for the use case,<div x-show="isVisible">Frequent toggle</div>,<template x-if="isVisible">Frequent toggle</template>,Medium,https://alpinejs.dev/directives/x-show
24,Alpine-Core,Access data with this prefix,Reference component data using this.property,Use this.propertyName in x-data methods,Reference properties without this,<div x-data="{ name: 'John' getName() { return this.name } }">,"{ name: 'John' getName() { return name } }",Low,https://alpinejs.dev/directives/x-data
25,Alpine-State,Use $store for global state,Share state across components with Alpine stores,Create stores for app-wide state like user auth,Pass data between unrelated components via DOM,Alpine.store('auth' { user: null }),<div x-data="{}" x-init="window.user = {}">Global</div>,Medium,https://alpinejs.dev/globals/alpine-store
26,Alpine-State,Keep local state in component,Use component x-data for component-specific state,Store component state in the component itself,Use global store for component-only data,<div x-data="{ expanded: false }">Accordion</div>,Alpine.store('accordion' { expanded: false }),Low,
27,Alpine-State,Use $watch for side effects,React to state changes with $watch,Watch important state changes for side effects,Poll or manually check for state changes,$watch('count' value => console.log(value)),setInterval(() => checkCount() 1000),Medium,https://alpinejs.dev/magics/watch
28,Alpine-State,Avoid deep object mutations,Update objects immutably for reactivity,Replace objects instead of mutating nested properties,Directly mutate nested object properties,this.user = { ...this.user name: 'New' },this.user.name = 'New Name',High,https://alpinejs.dev/advanced/reactivity
29,Alpine-Events,Use x-on for event handling,Handle events declaratively in templates,Use x-on:event or @event for event binding,Mix Alpine with traditional event listeners,<button @click="toggle()">Button</button>,<button onclick="alpineToggle()">Button</button>,Medium,https://alpinejs.dev/directives/x-on
30,Alpine-Events,Use event modifiers,Leverage Alpine's event modifiers for common patterns,Use .prevent .stop .once modifiers as needed,Manually call preventDefault in every handler,<form @submit.prevent="handleSubmit()">Form</form>,<form @submit="handleSubmit($event)">Form</form>,Medium,https://alpinejs.dev/directives/x-on#modifiers
31,Alpine-Events,Handle keyboard events properly,Use keyboard modifiers for accessibility,Support keyboard navigation with key modifiers,Only handle mouse events,<div @keydown.escape="close()" @keydown.enter="select()">Modal</div>,<div @click="close()">Modal</div>,High,https://alpinejs.dev/directives/x-on#keyboard
32,Alpine-Performance,Use x-init for setup,Initialize component behavior in x-init,Run setup code when component initializes,Run setup code in external scripts,<div x-data="{}" x-init="setupComponent()">Component</div>,<script>document.ready(setupComponent)</script>,Medium,https://alpinejs.dev/directives/x-init
33,Alpine-Performance,Minimize x-text usage,Use x-text sparingly for dynamic content,Use x-text only for frequently changing content,Use x-text for static or rarely changing content,<span x-text="liveCounter">0</span>,<span x-text="user.name">Static Name</span>,Low,https://alpinejs.dev/directives/x-text
34,Alpine-Performance,Debounce expensive operations,Prevent performance issues with frequent operations,Use $nextTick or debouncing for expensive operations,Run expensive operations on every input,<input @input="$nextTick(() => expensiveFilter())">,<input @input="expensiveFilter()">,Medium,https://alpinejs.dev/magics/nexttick
35,Alpine-Components,Create reusable component patterns,Use x-data functions for reusable components,Define component factories for reuse,Copy-paste component logic everywhere,Alpine.data('dropdown' () => ({ open: false })),Copy x-data="{ open: false }" everywhere,Medium,https://alpinejs.dev/globals/alpine-data
36,Alpine-Components,Pass data to components,Use props or attributes for component data,Pass data via HTML attributes or props,Use global variables for component data,<div x-data="modal($el.dataset.title)">Modal</div>,<div x-data="modal()" data-title="ignored">Modal</div>,Medium,
37,Alpine-Components,Scope component behavior,Keep component logic self-contained,Encapsulate behavior within component boundaries,Access parent component data directly,Components communicate via events or stores,this.$parent.someMethod(),High,
38,Alpine-Forms,Use x-model for form inputs,Bind form inputs with x-model directive,Two-way bind form inputs to component state,Manually sync input values with state,<input x-model="email" type="email">,<input :value="email" @input="email = $event.target.value">,Medium,https://alpinejs.dev/directives/x-model
39,Alpine-Forms,Use x-model modifiers,Apply appropriate modifiers to x-model,Use .lazy .number .trim modifiers as needed,Manually parse or validate input values,<input x-model.number="age" type="number">,<input x-model="age" type="number"> then parseInt(age),Low,https://alpinejs.dev/directives/x-model#modifiers
40,Alpine-Forms,Validate forms reactively,Provide real-time form validation feedback,Validate as user types with reactive expressions,Validate only on submit,<input x-model="email" :class="{ 'error': !isValidEmail(email) }">,<form onsubmit="validateAll()">Form</form>,Medium,
41,Axum-Core,Use typed extractors,Extract request data with Axum's type-safe extractors,Use Json Path Query Form extractors,Manual request parsing,async fn handler(Json(data): Json<User>) -> Json<User>,async fn handler(req: Request) -> Response,High,https://docs.rs/axum/latest/axum/extract/
42,Axum-Core,Return proper response types,Use Axum's response types for type safety,Return Html Json StatusCode or custom responses,Return untyped responses,Ok(Html("<h1>Hello</h1>")),Ok("Hello".to_string()),Medium,https://docs.rs/axum/latest/axum/response/
43,Axum-Core,Handle errors with proper types,Use Result types and error handling,Return Result from handlers with proper error types,Unwrap or panic in handlers,Result<Html<String> AppError>,handler().unwrap(),High,https://docs.rs/axum/latest/axum/response/trait.IntoResponse.html
44,Axum-State,Use app state for shared data,Share application state via Axum's state system,Pass database connections config via State extractor,Use global variables for shared state,async fn handler(State(db): State<Database>),static mut DB: Option<Database> = None,High,https://docs.rs/axum/latest/axum/extract/struct.State.html
45,Axum-State,Implement Clone for state,Make state types cloneable for efficient sharing,Wrap expensive-to-clone types in Arc,Clone expensive resources on every request,#[derive(Clone)] struct AppState { db: Arc<Database> },struct AppState { db: Database },Medium,
46,Axum-Routing,Use nested routers,Organize routes with Router::nest,Group related routes under common prefixes,Define all routes in one large router,Router::new().nest("/api/v1" api_routes),Router with 100+ individual routes,Medium,https://docs.rs/axum/latest/axum/struct.Router.html#method.nest
47,Axum-Routing,Apply middleware selectively,Use route-specific middleware when appropriate,Apply middleware only where needed,Apply all middleware globally,.route_layer(auth_middleware),.layer(auth_middleware) on all routes,Medium,https://docs.rs/axum/latest/axum/middleware/
48,Axum-Security,Validate input data,Always validate incoming request data,Use serde validation or custom validation,Trust client data without validation,#[derive(Deserialize Validate)] struct User,Accept any JSON without validation,High,
49,Axum-Security,Use CSRF protection middleware,Protect against CSRF attacks,Add CSRF middleware for state-changing operations,No CSRF protection on forms,.layer(CsrfLayer::new()),No CSRF middleware,High,
50,Axum-Security,Sanitize HTML output,Prevent XSS by escaping HTML content,Use templating engines with auto-escaping,Output user content without escaping,{{ user.name }} in templates,format!("<p>{}</p>" user.input),High,
51,Axum-Templates,Use templating engines,Render HTML with proper templating,Use Askama Tera or Handlebars for HTML rendering,String concatenation for HTML,#[derive(Template)] struct Page {},format!("<html><body>{}</body></html>" content),High,https://github.com/djc/askama
52,Axum-Templates,Separate templates from logic,Keep templates in separate files,Use template files not inline strings,Embed HTML in Rust code,#[template(path = "user.html")],let html = "<html>...</html>",Medium,
53,Axum-Performance,Use connection pooling,Pool database connections efficiently,Use sqlx::Pool or similar for DB connections,Create new DB connection per request,State(Arc<PgPool>),State(Database::connect().await),High,https://docs.rs/sqlx/latest/sqlx/pool/
54,Axum-Performance,Stream large responses,Stream data for large responses,Use axum::body::Body::from_stream for large data,Load all data into memory before responding,Body::from_stream(data_stream),let all_data: Vec<_> = query.collect().await,Medium,
55,Axum-Performance,Use compression middleware,Compress responses to reduce bandwidth,Add CompressionLayer for response compression,Send uncompressed responses,.layer(CompressionLayer::new()),No compression middleware,Medium,
56,Integration,Coordinate HTMX with Alpine,Use HTMX for server communication Alpine for client interactivity,Let HTMX handle server requests Alpine handle UI state,Mix concerns between HTMX and Alpine,<div x-data="modal()" hx-get="/content">Modal</div>,<div hx-get="/content" x-data="{ serverData: null }">Mixed</div>,Medium,
57,Integration,Handle HTMX in Alpine components,Reinitialize Alpine after HTMX swaps,Use htmx:afterSwap to reinit Alpine components,Alpine components break after HTMX updates,document.addEventListener('htmx:afterSwap' Alpine.initTree),No reinitialization after HTMX,High,https://htmx.org/events/#htmx:afterSwap
58,Integration,Pass server data to Alpine,Transfer server state to client components,Use data attributes or JSON scripts to pass data,Hard-code data in JavaScript,<div x-data="component()" data-initial='{"count":5}'>Component</div>,<div x-data="{ count: 5 }">Hard-coded</div>,Medium,
59,Accessibility,Provide ARIA labels,Add proper ARIA labels for dynamic content,Use aria-label aria-labelledby for screen readers,Rely only on visual cues,<button aria-label="Close modal" @click="close()">×</button>,<button @click="close()">×</button>,High,https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA
60,Accessibility,Announce dynamic changes,Use ARIA live regions for dynamic content,Add aria-live for content that changes,Silent updates invisible to screen readers,<div aria-live="polite" x-text="status">Status</div>,<div x-text="status">Status</div>,High,
61,Accessibility,Manage focus properly,Handle focus for modals and dynamic content,Use x-ref and $refs to manage focus,Lose focus context in dynamic content,$refs.firstInput.focus() in x-init,No focus management,High,https://alpinejs.dev/directives/x-ref
62,Accessibility,Support keyboard navigation,Implement proper keyboard support,Handle Enter Escape and arrow keys,Only support mouse interaction,@keydown.escape="close()" @keydown.enter="select()",@click handlers only,High,
63,Progressive-Enhancement,Start with working HTML,Build functionality that works without JavaScript,Create forms and links that work then enhance,Require JavaScript for basic functionality,"<form action=""/users"" method=""post"" hx-post=""/users"">","<div hx-post=""/users""> (not a real form)",High,
64,Progressive-Enhancement,Graceful degradation,Ensure core functionality works if JS fails,Make essential features work server-side,Break completely without JavaScript,Server handles form POST normally,Only HTMX POST works,High,
65,Anti-Patterns,Don't use HTMX for everything,Use HTMX for server interactions not client state,Let HTMX handle server requests Alpine handle UI,Use HTMX for purely client-side interactions,<button hx-get="/data" hx-target="#list">Load</button>,<button hx-get="#" @click="sortClientData()">Sort</button>,Medium,
66,Anti-Patterns,Avoid HTMX/Alpine conflicts,Don't let HTMX and Alpine fight over DOM,Clear separation of concerns between libraries,Both libraries manipulating same elements,HTMX updates content Alpine handles interactions,Both HTMX and Alpine changing same element,High,
67,Anti-Patterns,Don't ignore HTTP semantics,Use proper HTTP methods and status codes,Follow REST principles and HTTP standards,Use wrong methods or ignore status codes,DELETE /users/1 returns 204 No Content,POST /users/delete/1 returns 200 OK,High,
68,Anti-Patterns,Avoid callback hell in Alpine,Keep Alpine component methods simple,Use small focused methods and event handling,Complex nested logic in Alpine methods,Methods do one thing clearly,Massive x-data object with complex nested logic,Medium,
69,Testing,Test server endpoints,Write tests for Axum handlers,Test handlers independently of HTMX,Only test through browser automation,#[tokio::test] async fn test_create_user(),Only end-to-end tests,Medium,
70,Testing,Test Alpine components,Unit test Alpine component logic,Test component behavior and state management,Skip testing client-side logic,Test x-data component factories,No client-side testing,Medium,
71,Deployment,Configure CORS properly,Set appropriate CORS headers,Configure CORS for your domain requirements,Open CORS to all origins in production,CorsLayer::new().allow_origin("https://mydomain.com"),allow_origin(Any) in production,High,
72,Deployment,Use HTTPS in production,Serve over HTTPS for security,Use TLS certificates and secure headers,Serve over HTTP in production,HTTPS with security headers,HTTP in production,High,